epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,540.047,0.91255,0.74448,1.06188,0.7948,0.68628,0.76592,0.47699,1.36172,1.18109,1.36549,0.000995866,0.000995866,0.000995866
63,547.131,0.8951,0.72862,1.01707,0.76759,0.68182,0.76045,0.47251,1.38207,1.21945,1.35895,0.000984864,0.000984864,0.000984864
64,554.201,0.86287,0.70764,1.01685,0.70216,0.67149,0.74641,0.47617,1.33814,1.25774,1.31655,0.000973861,0.000973861,0.000973861
65,561.287,0.86374,0.72794,1.01363,0.70216,0.67149,0.74641,0.47617,1.33814,1.25774,1.31655,0.000962859,0.000962859,0.000962859
66,568.362,0.88158,0.70338,1.02831,0.66717,0.78656,0.7615,0.45638,1.37185,1.26533,1.34179,0.000951857,0.000951857,0.000951857
67,575.457,0.84973,0.6883,0.99778,0.73717,0.76505,0.77419,0.46279,1.36915,1.25777,1.33635,0.000940855,0.000940855,0.000940855
68,582.49,0.86818,0.69616,1.01263,0.80724,0.69339,0.80078,0.48539,1.3339,1.19381,1.32106,0.000929853,0.000929853,0.000929853
69,589.449,0.84874,0.70226,1.01148,0.80724,0.69339,0.80078,0.48539,1.3339,1.19381,1.32106,0.00091885,0.00091885,0.00091885
70,596.659,0.8185,0.64931,0.9993,0.79274,0.66098,0.79419,0.49003,1.32729,1.17261,1.33295,0.000907848,0.000907848,0.000907848
71,603.614,0.86108,0.70089,1.02353,0.75529,0.78452,0.83133,0.51593,1.30054,1.11502,1.32215,0.000896846,0.000896846,0.000896846
72,610.606,0.86343,0.6775,1.04017,0.78663,0.71964,0.81022,0.48814,1.34847,1.13964,1.333,0.000885844,0.000885844,0.000885844
73,617.526,0.89524,0.68569,1.022,0.78663,0.71964,0.81022,0.48814,1.34847,1.13964,1.333,0.000874842,0.000874842,0.000874842
74,624.601,0.86659,0.66245,1.0011,0.80216,0.71515,0.7981,0.4755,1.34868,1.09825,1.33009,0.000863839,0.000863839,0.000863839
75,631.773,0.82843,0.65463,0.99265,0.81585,0.71515,0.81376,0.48733,1.41224,1.05586,1.37976,0.000852837,0.000852837,0.000852837
76,638.64,0.88094,0.67767,1.02335,0.85457,0.71293,0.83129,0.48937,1.44016,1.07255,1.40518,0.000841835,0.000841835,0.000841835
77,645.586,0.95236,0.73194,1.10082,0.85457,0.71293,0.83129,0.48937,1.44016,1.07255,1.40518,0.000830833,0.000830833,0.000830833
78,652.54,0.83754,0.6792,1.02329,0.82137,0.7038,0.81158,0.48202,1.39546,1.08404,1.36945,0.000819831,0.000819831,0.000819831
79,659.392,0.83841,0.65855,1.00231,0.75157,0.73939,0.80459,0.48513,1.38831,1.08447,1.36865,0.000808828,0.000808828,0.000808828
80,666.633,0.84,0.66272,1.0119,0.70668,0.80636,0.81176,0.4825,1.44571,1.03876,1.40861,0.000797826,0.000797826,0.000797826
81,673.756,0.76558,0.6193,0.96462,0.70668,0.80636,0.81176,0.4825,1.44571,1.03876,1.40861,0.000786824,0.000786824,0.000786824
82,680.675,0.81146,0.6389,0.98518,0.68521,0.82183,0.80892,0.47527,1.51109,1.07244,1.4779,0.000775822,0.000775822,0.000775822
